T = 9;
S = 6;
C = 40;
t = [12 15 10 14 16 18 20 15 24 0 0 0 0 0 0 0 ];
P = {<1,2> <1,3> <1,4> <1,6> <1,7> <1,8> <2,9> <3,9> <4,9> <6,5> <6,9> <7,9> <8,5> <9,8> };
POR = {};
setup = [[0 4 4 7 9 12 4 6 10 0 0 0 0 0 0 0 ],
[1 0 6 9 1 0 3 2 16 0 0 0 0 0 0 0 ],
[2 9 0 6 5 4 2 8 17 0 0 0 0 0 0 0 ],
[5 5 6 0 5 12 2 2 4 0 0 0 0 0 0 0 ],
[3 9 4 5 0 6 0 6 8 0 0 0 0 0 0 0 ],
[1 9 5 7 9 0 12 6 12 0 0 0 0 0 0 0 ],
[1 4 3 3 8 11 0 7 1 0 0 0 0 0 0 0 ],
[2 8 0 4 0 12 1 0 15 0 0 0 0 0 0 0 ],
[7 7 3 4 5 7 4 5 0 0 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 ],
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 ]];
